Bin	MET	MET	HT	HT	Nj	Nj	Nb	Bkg	bg_err_stat+	bg_err_sys+	bg_err_stat-	bg_err_sys-	Data
89	750	Inf.	750	1500	5	6	1	21.6	2.8	2.9	2.5	2.7	16
90	750	Inf.	1500	Inf.	5	6	1	7.2	1.7	1.	1.3	1.	6
91	300	350	300	500	5	6	2	137	10	11	10	11	143
92	300	350	500	1000	5	6	2	347	15	22	15	22	332
93	300	350	1000	Inf.	5	6	2	43.5	5.9	3.9	5.8	3.9	36
94	350	500	350	500	5	6	2	32.9	4.3	4.6	4.	4.6	28
95	350	500	500	1000	5	6	2	290	14	22	13	21	288
96	350	500	1000	Inf.	5	6	2	41.8	5.	4.	4.8	3.9	44
97	500	750	500	1000	5	6	2	32.1	3.7	4.7	3.4	4.7	35
98	500	750	1000	Inf.	5	6	2	12.5	2.4	2.	2.	2.	18
99	750	Inf.	750	1500	5	6	2	4.1	1.5	0.9	1.	0.9	8
100	750	Inf.	1500	Inf.	5	6	2	2.7	1.4	0.5	1.	0.5	3
101	300	350	300	500	5	6	3	10.4	2.5	1.5	2.1	1.4	18
102	300	350	500	1000	5	6	3	48.7	6.	6.2	5.9	4.5	44
103	300	350	1000	Inf.	5	6	3	10.8	3.	3.8	2.6	3.	6
104	350	500	350	500	5	6	3	3.	2.4	0.6	1.4	0.6	4
105	350	500	500	1000	5	6	3	40.2	4.8	4.8	4.7	4.6	34
106	350	500	1000	Inf.	5	6	3	9.2	2.2	2.8	1.9	2.3	8
107	500	750	500	1000	5	6	3	5.2	1.8	1.1	1.5	1.1	4
108	500	750	1000	Inf.	5	6	3	2.9	1.6	0.6	1.1	0.6	2
109	750	Inf.	750	1500	5	6	3	0.4	1.2	0.2	0.1	0.2	0
110	750	Inf.	1500	Inf.	5	6	3	0.1	1.1	0.1	0.	0.1	1
111	300	350	500	1000	7	8	0	215	9	18	9	17	218
112	300	350	1000	Inf.	7	8	0	85.9	6.1	9.6	5.8	9.	85
113	350	500	500	1000	7	8	0	201	10	14	9	14	215
114	350	500	1000	Inf.	7	8	0	106.7	7.1	8.3	6.7	7.7	75
115	500	750	500	1000	7	8	0	39.2	4.5	3.7	4.1	3.5	34
116	500	750	1000	Inf.	7	8	0	44.1	4.5	3.7	4.1	3.5	38
117	750	Inf.	750	1500	7	8	0	6.4	2.	0.9	1.5	0.8	5
118	750	Inf.	1500	Inf.	7	8	0	3.3	1.7	0.4	1.1	0.4	5
119	300	350	500	1000	7	8	1	184	9	14	9	14	146
120	300	350	1000	Inf.	7	8	1	54.8	4.8	5.2	4.7	5.	68
121	350	500	500	1000	7	8	1	150	8	13	8	12	113
122	350	500	1000	Inf.	7	8	1	65.3	5.2	6.5	5.1	6.4	67
123	500	750	500	1000	7	8	1	24.9	3.5	3.4	3.3	3.4	19
124	500	750	1000	Inf.	7	8	1	29.2	3.9	3.3	3.7	3.3	22
125	750	Inf.	750	1500	7	8	1	2.14	0.99	0.46	0.56	0.45	4
126	750	Inf.	1500	Inf.	7	8	1	0.9	1.1	0.2	0.3	0.2	6
127	300	350	500	1000	7	8	2	95.8	6.6	7.1	6.5	7.	95
